artist	SONG	TITLE	ID
Serge GAINSBOURG	LA NOSTALGIE CAMARADE	Serge GAINSBOURG - LA NOSTALGIE CAMARADE	2279
Serge GAINSBOURG	LE CLAQUEUR DE DOIGTS	Serge GAINSBOURG - LE CLAQUEUR DE DOIGTS	2280
Serge GAINSBOURG	LE FOSSOYEUR DE PACY SUR EURE	Serge GAINSBOURG - LE FOSSOYEUR DE PACY SUR EURE	2281
Serge GAINSBOURG	LEMON INCEST	Serge GAINSBOURG - LEMON INCEST	2282
Serge GAINSBOURG	LES PETITS PAVES	Serge GAINSBOURG - LES PETITS PAVES	2283
Serge GAINSBOURG	MANON	Serge GAINSBOURG - MANON	2284
Serge GAINSBOURG	MARSEILLAISE	Serge GAINSBOURG - MARSEILLAISE	2285
Serge GAINSBOURG	MON LEGIONNAIRE	Serge GAINSBOURG - MON LEGIONNAIRE	2286
Serge GAINSBOURG	NAZI ROCK	Serge GAINSBOURG - NAZI ROCK	2287
Serge GAINSBOURG & Brigitte BARDOTT	BONNIE AND CLYDE	Serge GAINSBOURG & Brigitte BARDOTT - BONNIE AND CLYDE	2288
Serge GAINSBOURG & Brigitte BARDOTT	COMIC STRIP	Serge GAINSBOURG & Brigitte BARDOTT - COMIC STRIP	2289
Serge GAINSBOURG & France GALL	LES SUCETTES	Serge GAINSBOURG & France GALL - LES SUCETTES	2290
Serge GAINSBOURG & Jane BIRKIN	COMIC STRIP	Serge GAINSBOURG & Jane BIRKIN - COMIC STRIP	2291
Serge GAINSBOURG & Jane BIRKIN	JE T'AIME MOI NON PLUS	Serge GAINSBOURG & Jane BIRKIN - JE T'AIME MOI NON PLUS	2292
Serge GAINSBOURG & Jane BIRKIN	MELODY	Serge GAINSBOURG & Jane BIRKIN - MELODY	2293
Sergio DALMA	TODO LO QUE QUIERES	Sergio DALMA - TODO LO QUE QUIERES	2294
SEVDALIZA	THAT OTHER GIRL	SEVDALIZA - THAT OTHER GIRL	2295
SEVERINA	ALKATRAZ	SEVERINA - ALKATRAZ	2296
SEVERINA	GRAD BEZ LJUDI	SEVERINA - GRAD BEZ LJUDI	2297
SEVERINA & Sasa MATIC	MORE TUGE	SEVERINA & Sasa MATIC - MORE TUGE	2298
Sezen AKSU	MANIFESTO	Sezen AKSU - MANIFESTO	2299
Shania TWAIN	DON'T	Shania TWAIN - DON'T	2300
Shania TWAIN	I'M GONNA GETCHA GOOD	Shania TWAIN - I'M GONNA GETCHA GOOD	2301
Shania TWAIN	YOU'RE STILL THE ONE	Shania TWAIN - YOU'RE STILL THE ONE	2302
SHANTEL	THE KIEZ IS ALRIGHT	SHANTEL - THE KIEZ IS ALRIGHT	2303
SHANTEL & Areti KETIME	EAST WEST	SHANTEL & Areti KETIME - EAST WEST	2304
Sheryl CROW	LOVE IS FREE	Sheryl CROW - LOVE IS FREE	2305
SHIR	НЕБО	SHIR - НЕБО	2306
Shirley BASSEY	AS LONG AS HE NEEDS ME	Shirley BASSEY - AS LONG AS HE NEEDS ME	2307
Shirley BASSEY	BIG SPENDER	Shirley BASSEY - BIG SPENDER	2308
Shirley BASSEY	DIAMONDS ARE FOREVER	Shirley BASSEY - DIAMONDS ARE FOREVER	2309
Shirley BASSEY	KISS ME HONEY, HONEY	Shirley BASSEY - KISS ME HONEY, HONEY	2310
Shirley BASSEY & The YELLO	THE RHYTHM DIVINE	Shirley BASSEY & The YELLO - THE RHYTHM DIVINE	2311
Shreya GHOSHAL	BARSO RE	Shreya GHOSHAL - BARSO RE	2312
SHY'M	ET ALORS!	SHY'M - ET ALORS!	2313
SIA	ELASTIC HEART	SIA - ELASTIC HEART	2314
SIDOINE	LA NUIT	SIDOINE - LA NUIT	2315
SILVER STRINGS ft. Jagtinder Singh SIDHU	GANGA	SILVER STRINGS ft. Jagtinder Singh SIDHU - GANGA	2316
SIMGE	SIM SIM	SIMGE - SIM SIM	2317
Simona MOLINARI	FORSE	Simona MOLINARI - FORSE	2318
Simona MOLINARI	SMOKE GETS IN YOUR EYES	Simona MOLINARI - SMOKE GETS IN YOUR EYES	2319
Simona MOLINARI & Peter CINCOTTI	LA FELICITA	Simona MOLINARI & Peter CINCOTTI - LA FELICITA	2320
The SIMPLY RED	YOUR EYES	The SIMPLY RED - YOUR EYES	2321
The SIMPLY RED	A SONG FOR YOU	The SIMPLY RED - A SONG FOR YOU	2322
Sinal AKCIL	TABI TABI	Sinal AKCIL - TABI TABI	2323
SINDY	S'ENVOLER	SINDY - S'ENVOLER	2324
Sinead O'CONNOR	NOTHING COMPARES 2U	Sinead O'CONNOR - NOTHING COMPARES 2U	2325
SMASH & МОЯ МИШЕЛЬ	ТЁМНЫЕ АЛЛЕИ	SMASH & МОЯ МИШЕЛЬ - ТЁМНЫЕ АЛЛЕИ	2326
SOLANGE	LOSING YOU	SOLANGE - LOSING YOU	2327
SONIQUE	SKY	SONIQUE - SKY	2328
Sophia KARLBERG	TAKE ME TO CHURCH	Sophia KARLBERG - TAKE ME TO CHURCH	2329
Sophie ELLIS-BEXTOR	COME WITH US	Sophie ELLIS-BEXTOR - COME WITH US	2330
Sophie ELLIS-BEXTOR	CRYSTALLISE	Sophie ELLIS-BEXTOR - CRYSTALLISE	2331
Sophie ELLIS-BEXTOR	GET OVER YOU	Sophie ELLIS-BEXTOR - GET OVER YOU	2332
Sophie ELLIS-BEXTOR	TAKE ME HOME	Sophie ELLIS-BEXTOR - TAKE ME HOME	2333
Sophie ELLIS-BEXTOR	TODAY THE SUN'S ON US	Sophie ELLIS-BEXTOR - TODAY THE SUN'S ON US	2334
Sophie ELLIS-BEXTOR	WILD FOREVER	Sophie ELLIS-BEXTOR - WILD FOREVER	2335
Sophie ELLIS-BEXTOR ft. FREEMASONS	BITTERSWEET	Sophie ELLIS-BEXTOR ft. FREEMASONS - BITTERSWEET	2336
SOPRANO	CLOWN	SOPRANO - CLOWN	2337
SOPRANO	COSMO	SOPRANO - COSMO	2338
SOUF	MI AMOR	SOUF - MI AMOR	2339
SQUIRREL NUT ZIPPERS	SUITS ARE PICKING UP THE BILL	SQUIRREL NUT ZIPPERS - SUITS ARE PICKING UP THE BILL	2340
STADIO & NOEMI	LA PROMESSA	STADIO & NOEMI - LA PROMESSA	2341
STANISLAS	LE MANEGE	STANISLAS - LE MANEGE	2342
STARS ON 45	STARS ON 45	STARS ON 45 - STARS ON 45	2343
Stephen FRETWELL	RUN	Stephen FRETWELL - RUN	2344
Stevie WONDER	SHELTER IN THE RAIN	Stevie WONDER - SHELTER IN THE RAIN	2345
STING	A THOUSAND YEARS	STING - A THOUSAND YEARS	2346
STING	AFTER THE RAIN HAS FALLEN	STING - AFTER THE RAIN HAS FALLEN	2347
