artist	SONG	TITLE	ID
Сергей МАМРУК	БЕГ ПО КРУГУ	Сергей МАМРУК - БЕГ ПО КРУГУ	12085
Сергей МАМРУК	КРИЗИС РОК-Н-РОЛЛ	Сергей МАМРУК - КРИЗИС РОК-Н-РОЛЛ	12086
Сергей МАМРУК & Наташа ДОЛЬЧЕ	ТЫ В СЕРДЦЕ	Сергей МАМРУК & Наташа ДОЛЬЧЕ - ТЫ В СЕРДЦЕ	12087
Сергей МАРАСАНОВ	АПАТИТЫ	Сергей МАРАСАНОВ - АПАТИТЫ	12088
Сергей МАРАСАНОВ	ВЕЧЕРНИЙ КРАСНОДАР	Сергей МАРАСАНОВ - ВЕЧЕРНИЙ КРАСНОДАР	12089
Сергей МАРАСАНОВ	ДЕЖУРНЫЙ ПО РОССИИ	Сергей МАРАСАНОВ - ДЕЖУРНЫЙ ПО РОССИИ	12090
Сергей МИНАЕВ	ВОЯЖ, ВОЯЖ	Сергей МИНАЕВ - ВОЯЖ, ВОЯЖ	12091
Сергей МИНАЕВ	МАКАРЕНА	Сергей МИНАЕВ - МАКАРЕНА	12092
Сергей МИНАЕВ	СМЫЧОК И СТРУНЫ	Сергей МИНАЕВ - СМЫЧОК И СТРУНЫ	12093
Сергей МИНАЕВ	МИНАКИ-ДА	Сергей МИНАЕВ - МИНАКИ-ДА	12094
Сергей НИКИТИН	ЕСЛИ У ВАС НЕТУ ТЁТИ	Сергей НИКИТИН - ЕСЛИ У ВАС НЕТУ ТЁТИ	12095
Сергей НИКИТИН	Я СПРОСИЛ У ЯСЕНЯ	Сергей НИКИТИН - Я СПРОСИЛ У ЯСЕНЯ	12096
Сергей НОЯБРЬСКИЙ	ЗАГУЛЯЛА ЖЕНЩИНА	Сергей НОЯБРЬСКИЙ - ЗАГУЛЯЛА ЖЕНЩИНА	12097
Сергей НОЯБРЬСКИЙ	ОПУСТЕВШИЕ СТРАНИЦЫ	Сергей НОЯБРЬСКИЙ - ОПУСТЕВШИЕ СТРАНИЦЫ	12098
Сергей НОЯБРЬСКИЙ	СТОЛИЧНАЯ (ЗАГУЛЯЕМ ДО УТРА)	Сергей НОЯБРЬСКИЙ - СТОЛИЧНАЯ (ЗАГУЛЯЕМ ДО УТРА)	12099
Сергей НОЯБРЬСКИЙ	ХОЧЕТСЯ ЖИТЬ	Сергей НОЯБРЬСКИЙ - ХОЧЕТСЯ ЖИТЬ	12100
Сергей ОДИНЦОВ	ДАЛЬНОБОЙ	Сергей ОДИНЦОВ - ДАЛЬНОБОЙ	12101
Сергей ПАРШИН & Максим ДЗЮБА	В НАШЕЙ КИЗЕМЕ	Сергей ПАРШИН & Максим ДЗЮБА - В НАШЕЙ КИЗЕМЕ	12102
Сергей ПЕНКИН	РОЗОВЫЙ САД (ПОСВЯЩЕНИЕ СЕЗАРИИ ЭВОРА)	Сергей ПЕНКИН - РОЗОВЫЙ САД (ПОСВЯЩЕНИЕ СЕЗАРИИ ЭВОРА)	12103
Сергей ПЕНКИН	БЫЛ ДЕНЬ, БЫЛ ЧАС	Сергей ПЕНКИН - БЫЛ ДЕНЬ, БЫЛ ЧАС	12104
Сергей ПЕРЕВЕРЗЕВ	3600 СЕКУНД	Сергей ПЕРЕВЕРЗЕВ - 3600 СЕКУНД	12105
Сергей ПЕРЕВЕРЗЕВ	В КАЖДОМ СЕРДЦЕ	Сергей ПЕРЕВЕРЗЕВ - В КАЖДОМ СЕРДЦЕ	12106
Сергей ПЕРЕВЕРЗЕВ	ДЕВОЧКИ ПРИМЕРНЫЕ	Сергей ПЕРЕВЕРЗЕВ - ДЕВОЧКИ ПРИМЕРНЫЕ	12107
Сергей ПЕРЕВЕРЗЕВ	ДОКТОРА	Сергей ПЕРЕВЕРЗЕВ - ДОКТОРА	12108
Сергей ПЕРЕВЕРЗЕВ	И ВНОВЬ ЦВЕТЕТ АКАЦИЯ	Сергей ПЕРЕВЕРЗЕВ - И ВНОВЬ ЦВЕТЕТ АКАЦИЯ	12109
Сергей ПЕРЕВЕРЗЕВ	ЛЮБЛЮ КУБАНЬ	Сергей ПЕРЕВЕРЗЕВ - ЛЮБЛЮ КУБАНЬ	12110
Сергей ПЕРЕВЕРЗЕВ	МНЕ МНОГО НЕ НАДО	Сергей ПЕРЕВЕРЗЕВ - МНЕ МНОГО НЕ НАДО	12111
Сергей ПЕРЕВЕРЗЕВ	МОДНИЦА	Сергей ПЕРЕВЕРЗЕВ - МОДНИЦА	12112
Сергей ПЕРЕВЕРЗЕВ	ОСТАНОВИСЬ	Сергей ПЕРЕВЕРЗЕВ - ОСТАНОВИСЬ	12113
Сергей ПЕРЕВЕРЗЕВ	ПЕТАРДЫ	Сергей ПЕРЕВЕРЗЕВ - ПЕТАРДЫ	12114
Сергей ПЕРЕВЕРЗЕВ	ПОДМОСКОВЬЕ	Сергей ПЕРЕВЕРЗЕВ - ПОДМОСКОВЬЕ	12115
Сергей ПЕРЕВЕРЗЕВ	ПОДРУГА-ОСЕНЬ	Сергей ПЕРЕВЕРЗЕВ - ПОДРУГА-ОСЕНЬ	12116
Сергей ПЕРЕВЕРЗЕВ	С НОВЫМ ГОДОМ, МОСКВА!	Сергей ПЕРЕВЕРЗЕВ - С НОВЫМ ГОДОМ, МОСКВА!	12117
