artist	SONG	TITLE	ID
Евгений РОСС	БЕРЁЗЫ РОССИИ	Евгений РОСС - БЕРЁЗЫ РОССИИ	8312
Евгений РОСС	ЗАПОЗДАЛЫЙ СНЕГ	Евгений РОСС - ЗАПОЗДАЛЫЙ СНЕГ	8313
Евгений РОСС	ЛЕТО	Евгений РОСС - ЛЕТО	8314
Евгений РОСС	МИЛАЯ, ЕДИНСТВЕННАЯ, НЕЖНАЯ	Евгений РОСС - МИЛАЯ, ЕДИНСТВЕННАЯ, НЕЖНАЯ	8315
Евгений РОСС	НАПОИЛА НОЧЬ	Евгений РОСС - НАПОИЛА НОЧЬ	8316
Евгений РОСС	НОСТАЛЬГИЯ	Евгений РОСС - НОСТАЛЬГИЯ	8317
Евгений РОСС	ПЛАЧУТ СОСНЫ	Евгений РОСС - ПЛАЧУТ СОСНЫ	8318
Евгений РОСС	ПОЗОВИ	Евгений РОСС - ПОЗОВИ	8319
Евгений РОСС	ПРОСТИ МОЮ ЛЮБОВЬ	Евгений РОСС - ПРОСТИ МОЮ ЛЮБОВЬ	8320
Евгений РОСС	РОДИНА МОЯ	Евгений РОСС - РОДИНА МОЯ	8321
Евгений РОСС	ТАНГО А КОН-КОРОНЕЛЬ	Евгений РОСС - ТАНГО А КОН-КОРОНЕЛЬ	8322
Евгений РОСС	ТЕЛОГРЕЕЧКА	Евгений РОСС - ТЕЛОГРЕЕЧКА	8323
Евгений РОСС & Рада РАЙ	НАПОИЛА НОЧЬ	Евгений РОСС & Рада РАЙ - НАПОИЛА НОЧЬ	8324
Евгений РОЩЕНКОВ	ТВОЙ ДЕНЬ РОЖДЕНИЯ	Евгений РОЩЕНКОВ - ТВОЙ ДЕНЬ РОЖДЕНИЯ	8325
Евгений СУШКОВ	ДРУЗЬЯМ ДЕТСТВА	Евгений СУШКОВ - ДРУЗЬЯМ ДЕТСТВА	8326
Евгений ФИОНОВ	ЛИСТЬЯ ПАДАЮТ	Евгений ФИОНОВ - ЛИСТЬЯ ПАДАЮТ	8327
Евгений ФРОЛОВ	ОСТАНЬСЯ ИЛИ ИДИ	Евгений ФРОЛОВ - ОСТАНЬСЯ ИЛИ ИДИ	8328
Евгений ФРОЛОВ	ТЕПЛОХОД	Евгений ФРОЛОВ - ТЕПЛОХОД	8329
Евгений ЦИМБАЛИСТ	ПЕСНЯ О ЗОЛОТОМ КУПИДОНЕ	Евгений ЦИМБАЛИСТ - ПЕСНЯ О ЗОЛОТОМ КУПИДОНЕ	8330
Евгений ЧУЖОЙ	БАРНАУЛ	Евгений ЧУЖОЙ - БАРНАУЛ	8331
Евгений ЧУЖОЙ	ПЛАЧУТ СОСНЫ	Евгений ЧУЖОЙ - ПЛАЧУТ СОСНЫ	8332
Евгений ЧУЖОЙ	ТАНГО А КОН-КОРОНЕЛЬ	Евгений ЧУЖОЙ - ТАНГО А КОН-КОРОНЕЛЬ	8333
Евгений ЧУЖОЙ	ТЕЛОГРЕЕЧКА	Евгений ЧУЖОЙ - ТЕЛОГРЕЕЧКА	8334
