artist	SONG	TITLE	ID
АРТУР	ПIСНЯ ПРО РУШНИК	АРТУР - ПIСНЯ ПРО РУШНИК	5050
АРТУР	ПАДАЛ БЕЛЫЙ СНЕГ	АРТУР - ПАДАЛ БЕЛЫЙ СНЕГ	5051
АРТУР	ПОЙМИ, Я БОЛЬШЕ НЕ МОГУ	АРТУР - ПОЙМИ, Я БОЛЬШЕ НЕ МОГУ	5052
АРТУР	СЛЁЗЫ ЛЮБВИ	АРТУР - СЛЁЗЫ ЛЮБВИ	5053
АРТУР	СПАСИБО ВАМ	АРТУР - СПАСИБО ВАМ	5054
АРТУР	СЧАСТЬЕ ТЫ МОЕ, ГОЛУБОГЛАЗОЕ	АРТУР - СЧАСТЬЕ ТЫ МОЕ, ГОЛУБОГЛАЗОЕ	5055
АРТУР	У ТОЙ ЗИМЫ НЕПРОШЕННОЙ	АРТУР - У ТОЙ ЗИМЫ НЕПРОШЕННОЙ	5056
АРТУР	Я ЗНАЮ ТЕБЯ	АРТУР - Я ЗНАЮ ТЕБЯ	5057
АРТУР	СЧАСТЬЕ ТЫ МОЕ ГОЛУБОГЛАЗОЕ	АРТУР - СЧАСТЬЕ ТЫ МОЕ ГОЛУБОГЛАЗОЕ	5058
Артур АГАДЖАНЯН	БУДЕШЬ ТЫ МОЕЙ	Артур АГАДЖАНЯН - БУДЕШЬ ТЫ МОЕЙ	5059
Артур АЛЕКСАНДРОВ	ДАЙ МНЕ ШАНС	Артур АЛЕКСАНДРОВ - ДАЙ МНЕ ШАНС	5060
Артур ЕРМОШИН	НОЧЬ	Артур ЕРМОШИН - НОЧЬ	5061
Артур ИВАНОВ	ПРОСТИ, РОДНАЯ!	Артур ИВАНОВ - ПРОСТИ, РОДНАЯ!	5062
Артур ИВАНОВ	ХОЛОДНО	Артур ИВАНОВ - ХОЛОДНО	5063
Артур ИВАНОВ & Елена СЛОБОДЧИКОВА	НЕ СУМЕЛИ	Артур ИВАНОВ & Елена СЛОБОДЧИКОВА - НЕ СУМЕЛИ	5064
Артур ИВАНОВ & Елена СЛОБОДЧИКОВА	Я ВЕРНУСЬ	Артур ИВАНОВ & Елена СЛОБОДЧИКОВА - Я ВЕРНУСЬ	5065
Артур КРЕМНЕВ	ГДЕ ТЫ БЫЛА	Артур КРЕМНЕВ - ГДЕ ТЫ БЫЛА	5066
Артур КРЕМНЕВ & Анна ВАРТАНЬЯН	НОМЕР ПЯТЬ	Артур КРЕМНЕВ & Анна ВАРТАНЬЯН - НОМЕР ПЯТЬ	5067
Артур ОСИПОВ	НАДЕЖДА	Артур ОСИПОВ - НАДЕЖДА	5068
Артур ПИРОЖКОВ	#КАКЧЕЛЕНТАНО	Артур ПИРОЖКОВ - #КАКЧЕЛЕНТАНО	5069
Артур ПИРОЖКОВ	ЛИБО ЛЮБОВЬ	Артур ПИРОЖКОВ - ЛИБО ЛЮБОВЬ	5070
Артур ПИРОЖКОВ	ЛЮБОВЬ	Артур ПИРОЖКОВ - ЛЮБОВЬ	5071
Артур ПИРОЖКОВ	Я БУДУ ПОМНИТЬ	Артур ПИРОЖКОВ - Я БУДУ ПОМНИТЬ	5072
Артур ПИРОЖКОВ	Я ЗВЕЗДА	Артур ПИРОЖКОВ - Я ЗВЕЗДА	5073
Артур ПИРОЖКОВ & Вера БРЕЖНЕВА	LUNA	Артур ПИРОЖКОВ & Вера БРЕЖНЕВА - LUNA	5074
Артур ПИРОЖКОВ & ЛЕРИКА	МИР ТАНЦУЕТ С НАМИ	Артур ПИРОЖКОВ & ЛЕРИКА - МИР ТАНЦУЕТ С НАМИ	5075
Артур САРКИСЯН	ЗАРАЗА	Артур САРКИСЯН - ЗАРАЗА	5076
Артур САРКИСЯН & Марат ПАШАЯН	ГОРЫ	Артур САРКИСЯН & Марат ПАШАЯН - ГОРЫ	5077
арт-фолк группа ЕЖЕВИКА	ВЕСНА	арт-фолк группа ЕЖЕВИКА - ВЕСНА	5078
Аслан ТХАКУМАЧЕВ	МОЙ ШОРДАК	Аслан ТХАКУМАЧЕВ - МОЙ ШОРДАК	5079
Аслан ШОГЕНЦУКОВ	СКАЖИ НЕТ	Аслан ШОГЕНЦУКОВ - СКАЖИ НЕТ	5080
Аслан ШОГЕНЦУКОВ	СКАЖИ МНЕ	Аслан ШОГЕНЦУКОВ - СКАЖИ МНЕ	5081
Астемир АПАНАСОВ	ТЫ МОЯ ЛЮБОВЬ (ХЬЮ СА БЕСАМ БУ)	Астемир АПАНАСОВ - ТЫ МОЯ ЛЮБОВЬ (ХЬЮ СА БЕСАМ БУ)	5082
АТИЛЛА	ТЫ ЖИВАЯ	АТИЛЛА - ТЫ ЖИВАЯ	5083
АФИНА	БУДЕТ ТАК	АФИНА - БУДЕТ ТАК	5084
АФИНА	БУРЯ	АФИНА - БУРЯ	5085
АФИНА	ВСЁ БУДЕТ ХОРОШО	АФИНА - ВСЁ БУДЕТ ХОРОШО	5086
АФИНА	ГУДБАЙ	АФИНА - ГУДБАЙ	5087
АФИНА	ЖГУЧАЯ ЛЮБОВЬ	АФИНА - ЖГУЧАЯ ЛЮБОВЬ	5088
АФИНА	НЕ ГОВОРИ	АФИНА - НЕ ГОВОРИ	5089
АФИНА	НЕ УХОДИ	АФИНА - НЕ УХОДИ	5090
АФИНА	НЕБО	АФИНА - НЕБО	5091
АФИНА	НЕБО РАСКОЛОЛОСЬ	АФИНА - НЕБО РАСКОЛОЛОСЬ	5092
АФИНА	ОСТАНУСЬ ЗАГАДКОЙ	АФИНА - ОСТАНУСЬ ЗАГАДКОЙ	5093
