artist	SONG	TITLE	ID
Гарик СУКАЧЕВ & Александр Ф. СКЛЯР	ЗА ОКОШКОМ МЕСЯЦ МАЙ	Гарик СУКАЧЕВ & Александр Ф. СКЛЯР - ЗА ОКОШКОМ МЕСЯЦ МАЙ	6555
Гарик СУКАЧЕВ & Александр Ф. СКЛЯР	Я МИЛОГО УЗНАЮ ПО ПОХОДКЕ	Гарик СУКАЧЕВ & Александр Ф. СКЛЯР - Я МИЛОГО УЗНАЮ ПО ПОХОДКЕ	6556
Гарик СУКАЧЕВ & Владимир ШАХРИН	БЕЛЫЕ ДОРОГИ	Гарик СУКАЧЕВ & Владимир ШАХРИН - БЕЛЫЕ ДОРОГИ	6557
Гарик СУКАЧЕВ & Владимир ШАХРИН	ПОПЛАЧЬ О НЕМ	Гарик СУКАЧЕВ & Владимир ШАХРИН - ПОПЛАЧЬ О НЕМ	6558
Гарик СУКАЧЕВ & Жанна АГУЗАРОВА	ВЕРЮ Я	Гарик СУКАЧЕВ & Жанна АГУЗАРОВА - ВЕРЮ Я	6559
Гарик СУКАЧЕВ & Сергей ГАЛАНИН	HAVE YOU EVER SEEN THE RAIN	Гарик СУКАЧЕВ & Сергей ГАЛАНИН - HAVE YOU EVER SEEN THE RAIN	6560
Гарик СУКАЧЕВ & Сергей ГАЛАНИН	БЕЛЫЙ КОЛПАК	Гарик СУКАЧЕВ & Сергей ГАЛАНИН - БЕЛЫЙ КОЛПАК	6561
Гарик СУКАЧЕВ & Сергей ШНУРОВ	ОБОРОТЕНЬ С ГИТАРОЙ	Гарик СУКАЧЕВ & Сергей ШНУРОВ - ОБОРОТЕНЬ С ГИТАРОЙ	6562
Гарри АНАНАСОВ	КРУГОМ ТАЙГА	Гарри АНАНАСОВ - КРУГОМ ТАЙГА	6563
Гарри АНАНАСОВ	НЕФОРДЕВОЧКИ	Гарри АНАНАСОВ - НЕФОРДЕВОЧКИ	6564
Гарри ГОЛД	ПОПУРРИ НА ПЕСНИ ГАРРИ ГОЛДА	Гарри ГОЛД - ПОПУРРИ НА ПЕСНИ ГАРРИ ГОЛДА	6565
ГАРХ им. ПЯТНИЦКОГО	СО ВЕЧОРА, С ПОЛУНОЧИ	ГАРХ им. ПЯТНИЦКОГО - СО ВЕЧОРА, С ПОЛУНОЧИ	6566
Гасан БАГИРОВ	МОЙ ГОЛУБЬ СИЗОКРЫЛЫЙ	Гасан БАГИРОВ - МОЙ ГОЛУБЬ СИЗОКРЫЛЫЙ	6567
Гелена ВЕЛИКАНОВА	ЕДУ К ТЕБЕ ТРАМВАЕМ	Гелена ВЕЛИКАНОВА - ЕДУ К ТЕБЕ ТРАМВАЕМ	6568
Гелена ВЕЛИКАНОВА	НА КУРГАНЕ	Гелена ВЕЛИКАНОВА - НА КУРГАНЕ	6569
Гелена ВЕЛИКАНОВА	СТОЯТ ДЕВЧОНКИ	Гелена ВЕЛИКАНОВА - СТОЯТ ДЕВЧОНКИ	6570
Геннадий & Анастасия ЗАВОЛОКИНЫ	ДЕНЬГИ ЛЬЮТСЯ	Геннадий & Анастасия ЗАВОЛОКИНЫ - ДЕНЬГИ ЛЬЮТСЯ	6571
Геннадий АПРАКСИН & Татьяна СОРОКИНА	БОЛЬШАЯ ЛЮБОВЬ	Геннадий АПРАКСИН & Татьяна СОРОКИНА - БОЛЬШАЯ ЛЮБОВЬ	6572
Геннадий БЕЛОВ	ТРАВЫ, ТРАВЫ	Геннадий БЕЛОВ - ТРАВЫ, ТРАВЫ	6573
Геннадий ЖАРОВ	ЕЩЕ РАЗ ПРО ЛЮБОВЬ	Геннадий ЖАРОВ - ЕЩЕ РАЗ ПРО ЛЮБОВЬ	6574
Геннадий ЖАРОВ	КАЗАЧЬЯ	Геннадий ЖАРОВ - КАЗАЧЬЯ	6575
Геннадий ЖАРОВ	МЫ РАЗЛУЧИЛИСЬ С ТОБОЙ	Геннадий ЖАРОВ - МЫ РАЗЛУЧИЛИСЬ С ТОБОЙ	6576
Геннадий ЖАРОВ	НА СЕБЯ МАХНУ РУКОЙ	Геннадий ЖАРОВ - НА СЕБЯ МАХНУ РУКОЙ	6577
Геннадий ЖАРОВ	ОСТРОВ	Геннадий ЖАРОВ - ОСТРОВ	6578
Геннадий ЖАРОВ	СНЫ	Геннадий ЖАРОВ - СНЫ	6579
Геннадий ЖАРОВ	ТЫ - ЖЕНЩИНА	Геннадий ЖАРОВ - ТЫ - ЖЕНЩИНА	6580
Геннадий ЖАРОВ	УШАНОЧКА	Геннадий ЖАРОВ - УШАНОЧКА	6581
Геннадий КАМЕННЫЙ	ОСЕНЬ, ПРОЗРАЧНОЕ УТРО	Геннадий КАМЕННЫЙ - ОСЕНЬ, ПРОЗРАЧНОЕ УТРО	6582
Геннадий ЛИСТ	ХРИЗАНТЕМЫ	Геннадий ЛИСТ - ХРИЗАНТЕМЫ	6583
Геннадий ПАРЫКИН	ИСПОВЕДЬ ДАЛЬНОБОЙЩИКА	Геннадий ПАРЫКИН - ИСПОВЕДЬ ДАЛЬНОБОЙЩИКА	6584
Геннадий ПАРЫКИН & Нина КУЗНЕЦОВА	ТАКАЯ ЛЮБОВЬ	Геннадий ПАРЫКИН & Нина КУЗНЕЦОВА - ТАКАЯ ЛЮБОВЬ	6585
Геннадий РЕКУНОВ	УХОДИ	Геннадий РЕКУНОВ - УХОДИ	6586
Геннадий ХАЗАНОВ	ПЬЕР КУБЕРТЕН (РЕПРИЗА)	Геннадий ХАЗАНОВ - ПЬЕР КУБЕРТЕН (РЕПРИЗА)	6587
Геннадий ШАЛЬНЕВ	ВОКЗАЛЫ	Геннадий ШАЛЬНЕВ - ВОКЗАЛЫ	6588
Геннадий ШАЛЬНЕВ	НОСТАЛЬГИЯ	Геннадий ШАЛЬНЕВ - НОСТАЛЬГИЯ	6589
Геннадий ШАЛЬНЕВ	ОДЕССА	Геннадий ШАЛЬНЕВ - ОДЕССА	6590
Геннадий ШАЛЬНЕВ	ЦВЕТА КРОВИ БЕРЕТ	Геннадий ШАЛЬНЕВ - ЦВЕТА КРОВИ БЕРЕТ	6591
Георг ОТС	КОРОЛЕВА	Георг ОТС - КОРОЛЕВА	6592
Георг ОТС	ПИСЬМО МАТЕРИ	Георг ОТС - ПИСЬМО МАТЕРИ	6593
Георг ОТС	Я ПОМНЮ ВАЛЬСА ЗВУК ПРЕЛЕСТНЫЙ	Георг ОТС - Я ПОМНЮ ВАЛЬСА ЗВУК ПРЕЛЕСТНЫЙ	6594
Георгий АРАВИДИС	В МОЁМ СЕРДЦЕ ТОЛЬКО ТЫ	Георгий АРАВИДИС - В МОЁМ СЕРДЦЕ ТОЛЬКО ТЫ	6595
Георгий БЕРЕШИ	ВНИЗ ПО РЕКЕ	Георгий БЕРЕШИ - ВНИЗ ПО РЕКЕ	6596
Георгий ЛЫСЕНКО	ГУСИ-ЛЕБЕДИ	Георгий ЛЫСЕНКО - ГУСИ-ЛЕБЕДИ	6597
Георгий ЛЫСЕНКО	ТРЕТИЙ ТОСТ	Георгий ЛЫСЕНКО - ТРЕТИЙ ТОСТ	6598
Георгий ЮФА	ПУТЬ К СВЕТУ	Георгий ЮФА - ПУТЬ К СВЕТУ	6599
Гера ГРАЧ	СНЕГУРОЧКА	Гера ГРАЧ - СНЕГУРОЧКА	6600
Гера ГРАЧ	ТРАМВАЙ, 4-Й НОМЕР	Гера ГРАЧ - ТРАМВАЙ, 4-Й НОМЕР	6601
Гера ГРАЧ	ЭТА ЖЕНЩИНА	Гера ГРАЧ - ЭТА ЖЕНЩИНА	6602
ГЕРГАНА	ГУБЯ ТЕ БАВНО	ГЕРГАНА - ГУБЯ ТЕ БАВНО	6603
ГЕРМАН & Анна ШАРКУНОВА	ПОЗДНЯЯ ЛЮБОВЬ	ГЕРМАН & Анна ШАРКУНОВА - ПОЗДНЯЯ ЛЮБОВЬ	6604
Герман БЫСТРОЗОРОВ	ТВОИ ГЛАЗА	Герман БЫСТРОЗОРОВ - ТВОИ ГЛАЗА	6605
Герман ГРАЧ	Я МОЛОДОЙ	Герман ГРАЧ - Я МОЛОДОЙ	6606
ГКО им. О. ЛУНДСТРЕМА	МАЛЕНЬКИЙ ЦВЕТОК	ГКО им. О. ЛУНДСТРЕМА - МАЛЕНЬКИЙ ЦВЕТОК	6607
Глеб МАТВЕЙЧУК	БЕЛОВЕЖСКАЯ ПУЩА	Глеб МАТВЕЙЧУК - БЕЛОВЕЖСКАЯ ПУЩА	6608
Глеб МАТВЕЙЧУК	РАЗГОВОР СО СЧАСТЬЕМ	Глеб МАТВЕЙЧУК - РАЗГОВОР СО СЧАСТЬЕМ	6609
Глеб МАТВЕЙЧУК	ТАНЕЦ НА БАРАБАНЕ	Глеб МАТВЕЙЧУК - ТАНЕЦ НА БАРАБАНЕ	6610
Глеб МАТВЕЙЧУК	Я БУДУ ЦЕЛОВАТЬ ТЕБЯ ВСЮ НОЧЬ	Глеб МАТВЕЙЧУК - Я БУДУ ЦЕЛОВАТЬ ТЕБЯ ВСЮ НОЧЬ	6611
Глеб МАТВЕЙЧУК & Анастасия МАКЕЕВА	ТЕМП	Глеб МАТВЕЙЧУК & Анастасия МАКЕЕВА - ТЕМП	6612
Глеб РАДОВ	ЗАПРЕЩЕННАЯ ЛЮБОВЬ	Глеб РАДОВ - ЗАПРЕЩЕННАЯ ЛЮБОВЬ	6613
Глеб РАДОВ	ЗОЛОТОЙ ГОРОД РОССИИ	Глеб РАДОВ - ЗОЛОТОЙ ГОРОД РОССИИ	6614
Глеб РАДОВ	ЛИСТОПАД	Глеб РАДОВ - ЛИСТОПАД	6615
Глеб РАДОВ	ЯРАТУДАН НЫГРАК ЯРАТАМ	Глеб РАДОВ - ЯРАТУДАН НЫГРАК ЯРАТАМ	6616
ГЛОРИЯ	НОСТАЛГИЯ	ГЛОРИЯ - НОСТАЛГИЯ	6617
ГЛЮКОЗА	КАК В ДЕТСТВЕ	ГЛЮКОЗА - КАК В ДЕТСТВЕ	6618
ГЛЮКОЗА	ТАЮ	ГЛЮКОЗА - ТАЮ	6619
ГОЛИЦЫНА, РАЗМАХОВА, ШЕПИЛОВА	МИСС ЗК	ГОЛИЦЫНА, РАЗМАХОВА, ШЕПИЛОВА - МИСС ЗК	6620
ГОЛИЦЫНА, РАЗМАХОВА, ШЕПИЛОВА, КАНЕВСКАЯ	ДЕВИЧНИК	ГОЛИЦЫНА, РАЗМАХОВА, ШЕПИЛОВА, КАНЕВСКАЯ - ДЕВИЧНИК	6621
Город 312	ПО УЛИЦЕ МОЕЙ	Город 312 - ПО УЛИЦЕ МОЕЙ	6622
ГОСТИ ИЗ БУДУЩЕГО	РЕАЛЬНА ТОЛЬКО МУЗЫКА	ГОСТИ ИЗ БУДУЩЕГО - РЕАЛЬНА ТОЛЬКО МУЗЫКА	6623
ГОСУДАРСТВЕННЫЙ ВОЛЖСКИЙ РУССКИЙ НАРОДНЫЙ ХОР	ЭЙ, УХНЕМ	ГОСУДАРСТВЕННЫЙ ВОЛЖСКИЙ РУССКИЙ НАРОДНЫЙ ХОР - ЭЙ, УХНЕМ	6624
ГРАДУСЫ, группа	ВАЛИ-ГУЛЯЙ	ГРАДУСЫ, группа - ВАЛИ-ГУЛЯЙ	6625
Григорий ГЛАДКОВ	ПОПУРРИ	Григорий ГЛАДКОВ - ПОПУРРИ	6626
Григорий ЗАРЕЧНЫЙ	ВЕТЕРАН	Григорий ЗАРЕЧНЫЙ - ВЕТЕРАН	6627
Григорий ЗАРЕЧНЫЙ	ДОЛЮШКА ДАЛЬНОБОЙНАЯ	Григорий ЗАРЕЧНЫЙ - ДОЛЮШКА ДАЛЬНОБОЙНАЯ	6628
Григорий ЗАРЕЧНЫЙ	ДОРОГА ДОМОЙ	Григорий ЗАРЕЧНЫЙ - ДОРОГА ДОМОЙ	6629
Григорий ЗАРЕЧНЫЙ	ЖИЗНЬ ЭТО ДРАЙВ	Григорий ЗАРЕЧНЫЙ - ЖИЗНЬ ЭТО ДРАЙВ	6630
Григорий ЗАРЕЧНЫЙ	КАРДАН	Григорий ЗАРЕЧНЫЙ - КАРДАН	6631
Григорий ЗАРЕЧНЫЙ	КОЛЫБЕЛЬНАЯ	Григорий ЗАРЕЧНЫЙ - КОЛЫБЕЛЬНАЯ	6632
Григорий ЗАРЕЧНЫЙ	КОРОЛИ	Григорий ЗАРЕЧНЫЙ - КОРОЛИ	6633
Григорий ЗАРЕЧНЫЙ	НЕ ЛЕТАЙ	Григорий ЗАРЕЧНЫЙ - НЕ ЛЕТАЙ	6634
Григорий ЗАРЕЧНЫЙ	НОВЫЙ ГОД	Григорий ЗАРЕЧНЫЙ - НОВЫЙ ГОД	6635
Григорий ЗАРЕЧНЫЙ	ПОСЛЕДНИЙ РЕЙС	Григорий ЗАРЕЧНЫЙ - ПОСЛЕДНИЙ РЕЙС	6636
Григорий ЗАРЕЧНЫЙ	ПОФИГИСТИЧЕСКИЙ РОК-Н-РОЛЛ	Григорий ЗАРЕЧНЫЙ - ПОФИГИСТИЧЕСКИЙ РОК-Н-РОЛЛ	6637
Григорий ЗАРЕЧНЫЙ	ТАНЦУЙ, ЛЮБИМАЯ!	Григорий ЗАРЕЧНЫЙ - ТАНЦУЙ, ЛЮБИМАЯ!	6638
Григорий ЗАРЕЧНЫЙ	ТОРМОЗА ПРИДУМАЛИ ТРУСЫ	Григорий ЗАРЕЧНЫЙ - ТОРМОЗА ПРИДУМАЛИ ТРУСЫ	6639
Григорий ЗАРЕЧНЫЙ	ТЫ ПРОСТИ МЕНЯ	Григорий ЗАРЕЧНЫЙ - ТЫ ПРОСТИ МЕНЯ	6640
