artist	SONG	TITLE	ID
Donna SUMMER	SHE WORKS HARD FOR MONEY	Donna SUMMER - SHE WORKS HARD FOR MONEY	765
Donna SUMMER	SOMEOME TO WATCH OVER ME	Donna SUMMER - SOMEOME TO WATCH OVER ME	766
Donna SUMMER	STATE OF INDEPENDENCE	Donna SUMMER - STATE OF INDEPENDENCE	767
Donna SUMMER	SUPERNATURAL LOVE	Donna SUMMER - SUPERNATURAL LOVE	768
Donna SUMMER	THE QUEEN IS BACK	Donna SUMMER - THE QUEEN IS BACK	769
Donna SUMMER	THE WANDERER	Donna SUMMER - THE WANDERER	770
Donna SUMMER	THERE GOES MY BABY	Donna SUMMER - THERE GOES MY BABY	771
Donna SUMMER	THIS TIME I KNOW IT'S FOR REAL	Donna SUMMER - THIS TIME I KNOW IT'S FOR REAL	772
Donna SUMMER	UNCONDITIONAL LOVE	Donna SUMMER - UNCONDITIONAL LOVE	773
Donna SUMMER & Tina ARENA	NO MORE TEARS (ENOUGH IS ENOUGH)	Donna SUMMER & Tina ARENA - NO MORE TEARS (ENOUGH IS ENOUGH)	774
Donna SUMMER & Bruce ROBERTS	WHENEVER THERE IS LOVE	Donna SUMMER & Bruce ROBERTS - WHENEVER THERE IS LOVE	775
Donny OSMOND	ANY DREAM WILL DO	Donny OSMOND - ANY DREAM WILL DO	776
Donny OSMOND	CLOSE EVERY DOOR	Donny OSMOND - CLOSE EVERY DOOR	777
DSCHINGHIS KHAN	MEGAMIX	DSCHINGHIS KHAN - MEGAMIX	778
DSCHINGHIS KHAN	MOSKAU	DSCHINGHIS KHAN - MOSKAU	779
DUFFY	MERCY	DUFFY - MERCY	780
DUFFY	WELL, WELL, WELL	DUFFY - WELL, WELL, WELL	781
Duke DUMONT & Jax JONES	I GOT U	Duke DUMONT & Jax JONES - I GOT U	782
Dusty SPRINGFIELD	IF YOU GO AWAY	Dusty SPRINGFIELD - IF YOU GO AWAY	783
DЯDЯ VАНЯ & ONE HELL THING	ОДИНОКИЙ	DЯDЯ VАНЯ & ONE HELL THING - ОДИНОКИЙ	784
EAST 17	STAY ANOTHER DAY	EAST 17 - STAY ANOTHER DAY	785
Ed SHEERAN	I SEE FIRE	Ed SHEERAN - I SEE FIRE	786
Ed SHEERAN	THINKING OUT LOUD	Ed SHEERAN - THINKING OUT LOUD	787
EDGAR	БЕЗ ТЕБЯ	EDGAR - БЕЗ ТЕБЯ	788
EDGAR	В НЕБО УЛЕТАЙ	EDGAR - В НЕБО УЛЕТАЙ	789
EDGAR	ХОЧЕШЬ	EDGAR - ХОЧЕШЬ	790
EDGAR & Dino MC47	СОЖЖЕНЫ МОСТЫ	EDGAR & Dino MC47 - СОЖЖЕНЫ МОСТЫ	791
EDGAR & Ирина КРУГ	А ТЫ МЕНЯ ЛЮБИ	EDGAR & Ирина КРУГ - А ТЫ МЕНЯ ЛЮБИ	792
Edik SALONIKSKI	КАЛЕНДАРЬ	Edik SALONIKSKI - КАЛЕНДАРЬ	793
Edik SALONIKSKI	ТЫ МОЙ СОН	Edik SALONIKSKI - ТЫ МОЙ СОН	794
Edik SALONIKSKI	ТЫ НЕ МОЯ	Edik SALONIKSKI - ТЫ НЕ МОЯ	795
Edik SALONIKSKI	ТЫ ТОЛЬКО ДЛЯ МЕНЯ	Edik SALONIKSKI - ТЫ ТОЛЬКО ДЛЯ МЕНЯ	796
Edik SALONIKSKI & Elli MOURATIDOU	БЕССОВЕСТНО КРАСИВА	Edik SALONIKSKI & Elli MOURATIDOU - БЕССОВЕСТНО КРАСИВА	797
Edik SALONIKSKI & Elli MOURATIDOU	УЛЕТИМ	Edik SALONIKSKI & Elli MOURATIDOU - УЛЕТИМ	798
