artist	SONG	TITLE	ID
Юрий АНТОНОВ	НЕ УМИРАЙ, ЛЮБОВЬ	Юрий АНТОНОВ - НЕ УМИРАЙ, ЛЮБОВЬ	13091
Юрий АНТОНОВ	НЕТ ТЕБЯ ПРЕКРАСНЕЙ	Юрий АНТОНОВ - НЕТ ТЕБЯ ПРЕКРАСНЕЙ	13092
Юрий АНТОНОВ	ТОЛЬКО В ПОЛЕТЕ	Юрий АНТОНОВ - ТОЛЬКО В ПОЛЕТЕ	13093
Юрий АНТОНОВ	Я ВСПОМИНАЮ	Юрий АНТОНОВ - Я ВСПОМИНАЮ	13094
Юрий АРЦЫЗОВ	УВИДЕТЬ РАДУГУ	Юрий АРЦЫЗОВ - УВИДЕТЬ РАДУГУ	13095
Юрий АРЦЫЗОВ	ЭТО РАДУГА	Юрий АРЦЫЗОВ - ЭТО РАДУГА	13096
Юрий БОДРОВ	ТЫ МНЕ НУЖНА	Юрий БОДРОВ - ТЫ МНЕ НУЖНА	13097
Юрий БЫЛИНКИН	НАМ ТЕБЯ НЕ ХВАТАЕТ	Юрий БЫЛИНКИН - НАМ ТЕБЯ НЕ ХВАТАЕТ	13098
Юрий ВИЗБОР	СПОКОЙНО, ДРУЖИЩЕ, СПОКОЙНО!	Юрий ВИЗБОР - СПОКОЙНО, ДРУЖИЩЕ, СПОКОЙНО!	13099
Юрий ГАЛЬЦЕВ	АЛЕВТИНА	Юрий ГАЛЬЦЕВ - АЛЕВТИНА	13100
Юрий ГАЛЬЦЕВ	КОЛЫБЕЛЬНАЯ	Юрий ГАЛЬЦЕВ - КОЛЫБЕЛЬНАЯ	13101
Юрий ГАЛЬЦЕВ	ЛЮБУШКА МОЯ	Юрий ГАЛЬЦЕВ - ЛЮБУШКА МОЯ	13102
Юрий ГАЛЬЦЕВ	ОТКРОВЕНИЕ МОЁ	Юрий ГАЛЬЦЕВ - ОТКРОВЕНИЕ МОЁ	13103
Юрий ГАЛЬЦЕВ	ПРЕОБРАЖЕНИЕ	Юрий ГАЛЬЦЕВ - ПРЕОБРАЖЕНИЕ	13104
Юрий ГАЛЬЦЕВ	СУДЬБА	Юрий ГАЛЬЦЕВ - СУДЬБА	13105
Юрий ГАЛЬЦЕВ	УПРАВДОМ	Юрий ГАЛЬЦЕВ - УПРАВДОМ	13106
Юрий ГАЛЬЦЕВ	УХ-ТЫ, МЫ ВЫШЛИ ИЗ БУХТЫ	Юрий ГАЛЬЦЕВ - УХ-ТЫ, МЫ ВЫШЛИ ИЗ БУХТЫ	13107
Юрий ГАЛЬЦЕВ	ЧЕЛОВЕЧЕК	Юрий ГАЛЬЦЕВ - ЧЕЛОВЕЧЕК	13108
Юрий ГАЛЬЦЕВ	ЭКСПЕДИЦИЯ	Юрий ГАЛЬЦЕВ - ЭКСПЕДИЦИЯ	13109
Юрий ГАЛЬЦЕВ	Я - ЖЕЛЕЗНЫЙ	Юрий ГАЛЬЦЕВ - Я - ЖЕЛЕЗНЫЙ	13110
Юрий ГАРИН	САМОЛЁТИК	Юрий ГАРИН - САМОЛЁТИК	13111
Юрий ГАРИН	ХАНУМА	Юрий ГАРИН - ХАНУМА	13112
Юрий ГОРДЕЕВ	ЛУННЫЙ ВЕТЕР	Юрий ГОРДЕЕВ - ЛУННЫЙ ВЕТЕР	13113
Юрий ГОРОДЕЦКИЙ	ДАВНЫМ-ДАВНО	Юрий ГОРОДЕЦКИЙ - ДАВНЫМ-ДАВНО	13114
Юрий ДЕРСКИЙ	ВОРОНЬЕ	Юрий ДЕРСКИЙ - ВОРОНЬЕ	13115
Юрий ДУДОНОВ	ПТИЦА-ТРОЙКА	Юрий ДУДОНОВ - ПТИЦА-ТРОЙКА	13116
Юрий ЗАБРОДИН & Елена КИНДСФАТЕР	АССОЛЬ	Юрий ЗАБРОДИН & Елена КИНДСФАТЕР - АССОЛЬ	13117
Юрий ЗАБРОДИН & Ирина ХОЛМАНСКИХ	СКАЖИ	Юрий ЗАБРОДИН & Ирина ХОЛМАНСКИХ - СКАЖИ	13118
Юрий ИСТОМИН	ЛЮБИМАЯ МОЯ	Юрий ИСТОМИН - ЛЮБИМАЯ МОЯ	13119
Юрий КАЛАШНИКОВ	НЕ ПРЕДАВАЙ	Юрий КАЛАШНИКОВ - НЕ ПРЕДАВАЙ	13120
Юрий КАЛАШНИКОВ	ТИШИНА И ПОКОЙ	Юрий КАЛАШНИКОВ - ТИШИНА И ПОКОЙ	13121
Юрий КОСТЬ	Я СВОБОДНЫЙ ИДУ	Юрий КОСТЬ - Я СВОБОДНЫЙ ИДУ	13122
Юрий КУЗНЕЦОВ	БРОСЬ ШАПКУ ОЗЕМЬ	Юрий КУЗНЕЦОВ - БРОСЬ ШАПКУ ОЗЕМЬ	13123
Юрий КУЗНЕЦОВ	ТАЙНА	Юрий КУЗНЕЦОВ - ТАЙНА	13124
Юрий КУЗНЕЦОВ	ТАНЕЦ ЖЕЛТЫХ ФОНАРЕЙ	Юрий КУЗНЕЦОВ - ТАНЕЦ ЖЕЛТЫХ ФОНАРЕЙ	13125
Юрий КУЗНЕЦОВ	ТЫ ВЕРНИСЬ, СЫНОК	Юрий КУЗНЕЦОВ - ТЫ ВЕРНИСЬ, СЫНОК	13126
Юрий КУЗНЕЦОВ	ЧАЙКА	Юрий КУЗНЕЦОВ - ЧАЙКА	13127
Юрий КУЗНЕЦОВ	ТЫ ДОВЕРЧИВА	Юрий КУЗНЕЦОВ - ТЫ ДОВЕРЧИВА	13128
Юрий КУЗНЕЦОВ & Лев ШАПИРО	БЕРЕГИТЕ ДУШУ	Юрий КУЗНЕЦОВ & Лев ШАПИРО - БЕРЕГИТЕ ДУШУ	13129
Юрий КУЗНЕЦОВ-ТАЁЖНЫЙ	ВЕСНА НА ЗАРЕЧНОЙ УЛИЦЕ	Юрий КУЗНЕЦОВ-ТАЁЖНЫЙ - ВЕСНА НА ЗАРЕЧНОЙ УЛИЦЕ	13130
Юрий КУЗНЕЦОВ-ТАЁЖНЫЙ	ВЛАДИМИРСКИЙ ЦЕНТРАЛ	Юрий КУЗНЕЦОВ-ТАЁЖНЫЙ - ВЛАДИМИРСКИЙ ЦЕНТРАЛ	13131
Юрий КУЗНЕЦОВ-ТАЁЖНЫЙ	ГОЛУБИ	Юрий КУЗНЕЦОВ-ТАЁЖНЫЙ - ГОЛУБИ	13132
Юрий КУЗНЕЦОВ-ТАЁЖНЫЙ	МУЗЫКАНТ	Юрий КУЗНЕЦОВ-ТАЁЖНЫЙ - МУЗЫКАНТ	13133
Юрий КУЗНЕЦОВ-ТАЁЖНЫЙ	Я МИЛОГО УЗНАЮ ПО ПОХОДКЕ	Юрий КУЗНЕЦОВ-ТАЁЖНЫЙ - Я МИЛОГО УЗНАЮ ПО ПОХОДКЕ	13134
Юрий ЛОЗА	ВЕСЕЛЬЕ НОВОГОДНЕЕ	Юрий ЛОЗА - ВЕСЕЛЬЕ НОВОГОДНЕЕ	13135
Юрий ЛОЗА	ВОТ И ПРОШЕЛ ГОД	Юрий ЛОЗА - ВОТ И ПРОШЕЛ ГОД	13136
Юрий ЛОЗА	ГАРАЖ	Юрий ЛОЗА - ГАРАЖ	13137
Юрий ЛОЗА	ДЕВОЧКА СЕГОДНЯ В БАРЕ	Юрий ЛОЗА - ДЕВОЧКА СЕГОДНЯ В БАРЕ	13138
Юрий ЛОЗА	ЗИМА	Юрий ЛОЗА - ЗИМА	13139
Юрий ЛОЗА	К ТЕБЕ МОСКВА	Юрий ЛОЗА - К ТЕБЕ МОСКВА	13140
Юрий ЛОЗА	МОЙ ТРАМВАЙ ПОСЛЕДНИЙ	Юрий ЛОЗА - МОЙ ТРАМВАЙ ПОСЛЕДНИЙ	13141
Юрий ЛОЗА	НЕ ТАК	Юрий ЛОЗА - НЕ ТАК	13142
Юрий ЛОЗА	О ДАЛЁКИХ МИРАХ	Юрий ЛОЗА - О ДАЛЁКИХ МИРАХ	13143
Юрий ЛОЗА	ПЛОТ	Юрий ЛОЗА - ПЛОТ	13144
Юрий ЛОЗА	ПОЙ МОЯ ГИТАРА	Юрий ЛОЗА - ПОЙ МОЯ ГИТАРА	13145
Юрий МАГОМАЕВ	НЕ ВЫХОДИ ЗАМУЖ	Юрий МАГОМАЕВ - НЕ ВЫХОДИ ЗАМУЖ	13146
Юрий МАГОМАЕВ	ОТЛЮБИЛИ МЫ С ТОБОЙ	Юрий МАГОМАЕВ - ОТЛЮБИЛИ МЫ С ТОБОЙ	13147
Юрий МИХАЙЛОВ	БЛАГОДАРЮ	Юрий МИХАЙЛОВ - БЛАГОДАРЮ	13148
Юрий МИХАЙЛОВ	ГОЛОС ЛЮБВИ	Юрий МИХАЙЛОВ - ГОЛОС ЛЮБВИ	13149
Юрий МИХАЙЛОВ	ДАЛЬНОБОЙ	Юрий МИХАЙЛОВ - ДАЛЬНОБОЙ	13150
Юрий МИХАЙЛОВ	ДЕРЕВЕНЬКА	Юрий МИХАЙЛОВ - ДЕРЕВЕНЬКА	13151
Юрий МИХАЙЛОВ	ЗА ЖЕНЩИН ТОСТ	Юрий МИХАЙЛОВ - ЗА ЖЕНЩИН ТОСТ	13152
Юрий МИХАЙЛОВ	ТРОЕЧКА МЧИТ	Юрий МИХАЙЛОВ - ТРОЕЧКА МЧИТ	13153
Юрий НИКУЛИН	ПЕСНЯ ПРО ЗАЙЦЕВ	Юрий НИКУЛИН - ПЕСНЯ ПРО ЗАЙЦЕВ	13154
Юрий НИКУЛИН	ПОСТОЙ, ПАРОВОЗ	Юрий НИКУЛИН - ПОСТОЙ, ПАРОВОЗ	13155
Юрий ПАШЕНЦЕВ	СЕРЕГА	Юрий ПАШЕНЦЕВ - СЕРЕГА	13156
Юрий РУХЛИНСКИЙ	ДУШИ УЛЫБКА	Юрий РУХЛИНСКИЙ - ДУШИ УЛЫБКА	13157
Юрий РУХЛИНСКИЙ	ЖИЗНЬ МОЯ	Юрий РУХЛИНСКИЙ - ЖИЗНЬ МОЯ	13158
Юрий РЯБОВ	45 ЫЙ ГОД	Юрий РЯБОВ - 45 ЫЙ ГОД	13159
Юрий РЯБОВ	МОЯ ЛЮБОВЬ, МОЯ РАЗЛУКА	Юрий РЯБОВ - МОЯ ЛЮБОВЬ, МОЯ РАЗЛУКА	13160
Юрий РЯБОВ	ПО РУБЛЕВКЕ	Юрий РЯБОВ - ПО РУБЛЕВКЕ	13161
Юрий СЛЕПОКУРОВ	А МНЕ СНОВА 25	Юрий СЛЕПОКУРОВ - А МНЕ СНОВА 25	13162
Юрий СЛЕПОКУРОВ	МАСЛОВКА	Юрий СЛЕПОКУРОВ - МАСЛОВКА	13163
Юрий СМЫСЛОВ	ОСКОЛКИ	Юрий СМЫСЛОВ - ОСКОЛКИ	13164
Юрий СМЫСЛОВ	ПОРУЧНИ ЛЮБВИ	Юрий СМЫСЛОВ - ПОРУЧНИ ЛЮБВИ	13165
Юрий УРАЛЬСКИЙ	ОБЛАКА ЛЕТЯТ ПО НЕБУ	Юрий УРАЛЬСКИЙ - ОБЛАКА ЛЕТЯТ ПО НЕБУ	13166
Юрий ФИЛОНЕНКО	МНЕ ЧЕГО-ТО НЕ ХВАТАЕТ	Юрий ФИЛОНЕНКО - МНЕ ЧЕГО-ТО НЕ ХВАТАЕТ	13167
Юрий ХАИМОВ	С ТОБОЙ БЫТЬ	Юрий ХАИМОВ - С ТОБОЙ БЫТЬ	13168
Юрий ЦХАЙ	ЖИЗНЬ	Юрий ЦХАЙ - ЖИЗНЬ	13169
Юрий ШАТУНОВ	И Я ПОД ГИТАРУ	Юрий ШАТУНОВ - И Я ПОД ГИТАРУ	13170
Юрий ШАТУНОВ	А ЛЕТО ЦВЕТА	Юрий ШАТУНОВ - А ЛЕТО ЦВЕТА	13171
Юрий ШАТУНОВ	В РОЖДЕСТВО	Юрий ШАТУНОВ - В РОЖДЕСТВО	13172
Юрий ШАТУНОВ	С ДНЕМ РОЖДЕНИЯ	Юрий ШАТУНОВ - С ДНЕМ РОЖДЕНИЯ	13173
