artist	SONG	TITLE	ID
Paula FERNANDES	PASSARO DE FOGO	Paula FERNANDES - PASSARO DE FOGO	2028
Paulina RUBIO & Espinoza PAZ	ME VOY	Paulina RUBIO & Espinoza PAZ - ME VOY	2029
Pedrito CALVO & LA NUEVA JUSTICIA	EL FOTINGO DE CARIDAD	Pedrito CALVO & LA NUEVA JUSTICIA - EL FOTINGO DE CARIDAD	2030
PENTATONIX	CAROL OF THE BELLS	PENTATONIX - CAROL OF THE BELLS	2031
PENTATONIX	DANCE OF THE SUGAR PLUM FAIRY	PENTATONIX - DANCE OF THE SUGAR PLUM FAIRY	2032
PENTATONIX	LITTLE DRUMMER BOY	PENTATONIX - LITTLE DRUMMER BOY	2033
PENTATONIX	MARY, DID YOU KNOW?	PENTATONIX - MARY, DID YOU KNOW	2034
PENTATONIX	THAT'S CHRISTMAS TO ME	PENTATONIX - THAT'S CHRISTMAS TO ME	2035
Peter CINCOTTI	ST LOUIS BLUES	Peter CINCOTTI - ST LOUIS BLUES	2036
Peter GABRIEL	IN YOUR EYES	Peter GABRIEL - IN YOUR EYES	2037
Peter GABRIEL	SLEDGEHAMMER	Peter GABRIEL - SLEDGEHAMMER	2038
Peter GABRIEL & Kate BUSH	DON'T GIVE UP	Peter GABRIEL & Kate BUSH - DON'T GIVE UP	2039
Pharrell WILLIAMS	MARLYN MONROE	Pharrell WILLIAMS - MARLYN MONROE	2040
Phil COLLINS	ANOTHER DAY IN PARADISE	Phil COLLINS - ANOTHER DAY IN PARADISE	2041
Philippe GAUTIER	VERONE	Philippe GAUTIER - VERONE	2042
Phill KAY	THE COUPLING SONG	Phill KAY - THE COUPLING SONG	2043
Pierdavide CARONE	NANI	Pierdavide CARONE - NANI	2044
PINK	JUST LIKE FIRE	PINK - JUST LIKE FIRE	2045
PJ HARVEY	THE WORDS THAT MAKETH MURDER	PJ HARVEY - THE WORDS THAT MAKETH MURDER	2046
Placido DOMINGO	BESAME MUCHO	Placido DOMINGO - BESAME MUCHO	2047
POMME	EN CAVALE	POMME - EN CAVALE	2048
POMME	JE T'EMMENERAIS BIEN	POMME - JE T'EMMENERAIS BIEN	2049
POMME	SANS TOI	POMME - SANS TOI	2050
PORTUGAL.THE MAN	FEEL IT STILL	PORTUGAL.THE MAN - FEEL IT STILL	2051
Prince ROYCE & SHAKIRA	DEJA VU	Prince ROYCE & SHAKIRA - DEJA VU	2052
PUPO	FIERENZE SANTA MARIA NOVELLA	PUPO - FIERENZE SANTA MARIA NOVELLA	2053
QUEEN	A KIND OF MAGIC	QUEEN - A KIND OF MAGIC	2054
QUEEN	A WINTER'S TALE	QUEEN - A WINTER'S TALE	2055
QUEEN	ANOTHER ONE BITES THE DUST	QUEEN - ANOTHER ONE BITES THE DUST	2056
QUEEN	BOHEMIAN RHAPSODY	QUEEN - BOHEMIAN RHAPSODY	2057
QUEEN	BREAKTHRU	QUEEN - BREAKTHRU	2058
QUEEN	BYCICLE RACE	QUEEN - BYCICLE RACE	2059
QUEEN	CRAZY LITTLE THING CALLED LOVE	QUEEN - CRAZY LITTLE THING CALLED LOVE	2060
QUEEN	DON'T STOP ME NOW	QUEEN - DON'T STOP ME NOW	2061
QUEEN	FAT BOTTOMED GIRLS	QUEEN - FAT BOTTOMED GIRLS	2062
QUEEN	FLASH	QUEEN - FLASH	2063
QUEEN	FRIENDS WILL BE FRIENDS	QUEEN - FRIENDS WILL BE FRIENDS	2064
QUEEN	HAMMER TO FALL	QUEEN - HAMMER TO FALL	2065
QUEEN	HEADLONG	QUEEN - HEADLONG	2066
QUEEN	HEAVEN FOR EVERYONE	QUEEN - HEAVEN FOR EVERYONE	2067
QUEEN	I WANT IT ALL	QUEEN - I WANT IT ALL	2068
QUEEN	I WANT TO BREAK FREE	QUEEN - I WANT TO BREAK FREE	2069
QUEEN	I'M GOING SLIGHTLY MAD	QUEEN - I'M GOING SLIGHTLY MAD	2070
QUEEN	INNUENDO	QUEEN - INNUENDO	2071
QUEEN	IT'S A HARD LIFE	QUEEN - IT'S A HARD LIFE	2072
QUEEN	KEEP YOURSELF ALIVE	QUEEN - KEEP YOURSELF ALIVE	2073
QUEEN	KILLER QUEEN	QUEEN - KILLER QUEEN	2074
QUEEN	LIAR	QUEEN - LIAR	2075
QUEEN	LOVE OF MY LIFE	QUEEN - LOVE OF MY LIFE	2076
QUEEN	MADE IN HEAVEN	QUEEN - MADE IN HEAVEN	2077
QUEEN	NOW I'M HERE	QUEEN - NOW I'M HERE	2078
QUEEN	ONE VISION	QUEEN - ONE VISION	2079
QUEEN	PLAY THE GAME	QUEEN - PLAY THE GAME	2080
QUEEN	RADIO GA GA	QUEEN - RADIO GA GA	2081
QUEEN	SAVE ME	QUEEN - SAVE ME	2082
QUEEN	SOMEBODY TO LOVE	QUEEN - SOMEBODY TO LOVE	2083
QUEEN	SPREAD YOUR WINGS	QUEEN - SPREAD YOUR WINGS	2084
QUEEN	THE INVISIBLE MAN	QUEEN - THE INVISIBLE MAN	2085
QUEEN	THE MIRACLE	QUEEN - THE MIRACLE	2086
QUEEN	THE SHOW MUST GO ON	QUEEN - THE SHOW MUST GO ON	2087
QUEEN	TIE YOUR MOTHER DOWN	QUEEN - TIE YOUR MOTHER DOWN	2088
QUEEN	UNDER PRESSURE	QUEEN - UNDER PRESSURE	2089
QUEEN	WE ARE THE CHAMPIONS	QUEEN - WE ARE THE CHAMPIONS	2090
QUEEN	WE WILL ROCK YOU	QUEEN - WE WILL ROCK YOU	2091
QUEEN	WHO WANTS TO LIVE FOREVER	QUEEN - WHO WANTS TO LIVE FOREVER	2092
QUEEN	YOU DON'T FOOL ME	QUEEN - YOU DON'T FOOL ME	2093
QUEEN	YOU'RE MY BEST FRIEND	QUEEN - YOU'RE MY BEST FRIEND	2094
R.E.M.	MAN ON THE MOON	R.E.M. - MAN ON THE MOON	2095
Rachele BASTREGHI	SENZA ESSERE	Rachele BASTREGHI - SENZA ESSERE	2096
Rachid TAHA	ROCK EL CASBAH	Rachid TAHA - ROCK EL CASBAH	2097
RAE SREMMURD	NO TYPE	RAE SREMMURD - NO TYPE	2098
RAF	LE RAGIONI DEL CUORE	RAF - LE RAGIONI DEL CUORE	2099
Raffaella CARRA	A FAR L'AMORE COMINCIA TU	Raffaella CARRA - A FAR L'AMORE COMINCIA TU	2100
Raffaella CARRA	RUMORE	Raffaella CARRA - RUMORE	2101
Raffica	MANANA	Raffica - MANANA	2102
