artist	SONG	TITLE	ID
группа ВОПЛИ ВИДОПЛЯСОВА	ЛЮБОВ	группа ВОПЛИ ВИДОПЛЯСОВА - ЛЮБОВ	7056
группа ВОПЛИ ВИДОПЛЯСОВА	МУЗИКА	группа ВОПЛИ ВИДОПЛЯСОВА - МУЗИКА	7057
группа ВОПЛИ ВИДОПЛЯСОВА	НЕ ДУМАЙ	группа ВОПЛИ ВИДОПЛЯСОВА - НЕ ДУМАЙ	7058
группа ВОПЛИ ВИДОПЛЯСОВА	ПЕСЕНКА	группа ВОПЛИ ВИДОПЛЯСОВА - ПЕСЕНКА	7059
группа ВОПЛИ ВИДОПЛЯСОВА	ПОЛОНИНА	группа ВОПЛИ ВИДОПЛЯСОВА - ПОЛОНИНА	7060
группа ВОПЛИ ВИДОПЛЯСОВА	СВЕТ	группа ВОПЛИ ВИДОПЛЯСОВА - СВЕТ	7061
группа ВОПЛИ ВИДОПЛЯСОВА	СОНЯЧНИ ДНИ	группа ВОПЛИ ВИДОПЛЯСОВА - СОНЯЧНИ ДНИ	7062
группа ВОПЛИ ВИДОПЛЯСОВА	ЧИО ЧИО САН	группа ВОПЛИ ВИДОПЛЯСОВА - ЧИО ЧИО САН	7063
группа ВОПЛИ ВИДОПЛЯСОВА	ЩЕДРИК	группа ВОПЛИ ВИДОПЛЯСОВА - ЩЕДРИК	7064
группа ВОРОВАЙКИ	ДЕВЧОНКА РЫЖАЯ	группа ВОРОВАЙКИ - ДЕВЧОНКА РЫЖАЯ	7065
группа ВОРОВАЙКИ	НАКОЛОЧКИ	группа ВОРОВАЙКИ - НАКОЛОЧКИ	7066
группа ВОРОВАЙКИ	НЕ ВОРОВКА, НЕ ШАЛАВА	группа ВОРОВАЙКИ - НЕ ВОРОВКА, НЕ ШАЛАВА	7067
группа ВОРОВАЙКИ	ХОП, МУСОРОК	группа ВОРОВАЙКИ - ХОП, МУСОРОК	7068
группа ВОСКРЕСЕНЬЕ	НЕ ТОРОПЯСЬ	группа ВОСКРЕСЕНЬЕ - НЕ ТОРОПЯСЬ	7069
группа ВОСТОК	МИРАЖИ	группа ВОСТОК - МИРАЖИ	7070
группа ВРЕМЯ АЛЬБИНОСОВ	ВРЕМЯ ЛЫСЕЮЩИХ ШИН	группа ВРЕМЯ АЛЬБИНОСОВ - ВРЕМЯ ЛЫСЕЮЩИХ ШИН	7071
группа ВРЕМЯ АЛЬБИНОСОВ	ГНОМЫ И ДУШИ	группа ВРЕМЯ АЛЬБИНОСОВ - ГНОМЫ И ДУШИ	7072
группа ВРЕМЯ АЛЬБИНОСОВ	ПРОСТО СОЛНЦЕ ОСТЫЛО	группа ВРЕМЯ АЛЬБИНОСОВ - ПРОСТО СОЛНЦЕ ОСТЫЛО	7073
группа ВРЕМЯ ПЕРЕМЕН	ЗА СТЕНОЙ ТЮРЕМНОЙ	группа ВРЕМЯ ПЕРЕМЕН - ЗА СТЕНОЙ ТЮРЕМНОЙ	7074
группа ВРЕМЯ ПЕРЕМЕН	СТАРЫЙ РОМ	группа ВРЕМЯ ПЕРЕМЕН - СТАРЫЙ РОМ	7075
группа ГАРАЖ СЫРОЕЖКИНА	ТЫ - ЧЕЛОВЕК	группа ГАРАЖ СЫРОЕЖКИНА - ТЫ - ЧЕЛОВЕК	7076
группа ГЕРОИ	ЗАКАТЫ АЛЫЕ	группа ГЕРОИ - ЗАКАТЫ АЛЫЕ	7077
группа ГЕРОИ	МОЁ МАЛЕНЬКОЕ ГЛУПОЕ СЕРДЦЕ	группа ГЕРОИ - МОЁ МАЛЕНЬКОЕ ГЛУПОЕ СЕРДЦЕ	7078
группа ГЕРОИ & БЕЛКА	НОВОГОДНЯЯ	группа ГЕРОИ & БЕЛКА - НОВОГОДНЯЯ	7079
группа ГОЛУБЫЕ БЕРЕТЫ	БОЙЦАМ АЛЬФЫ	группа ГОЛУБЫЕ БЕРЕТЫ - БОЙЦАМ АЛЬФЫ	7080
группа ГОЛУБЫЕ БЕРЕТЫ	ВОЗВРАЩАЙСЯ СКОРЕЙ	группа ГОЛУБЫЕ БЕРЕТЫ - ВОЗВРАЩАЙСЯ СКОРЕЙ	7081
группа ГОЛУБЫЕ БЕРЕТЫ	ВЫ РЯДОМ С НАМИ	группа ГОЛУБЫЕ БЕРЕТЫ - ВЫ РЯДОМ С НАМИ	7082
группа ГОЛУБЫЕ БЕРЕТЫ	ГОЛУБЫЕ БЕРЕТЫ	группа ГОЛУБЫЕ БЕРЕТЫ - ГОЛУБЫЕ БЕРЕТЫ	7083
группа ГОЛУБЫЕ БЕРЕТЫ	ГРАНИЦЫ	группа ГОЛУБЫЕ БЕРЕТЫ - ГРАНИЦЫ	7084
группа ГОЛУБЫЕ БЕРЕТЫ	ГРУСТИТ НАСТОЛЬНЫЙ КАЛЕНДАРЬ	группа ГОЛУБЫЕ БЕРЕТЫ - ГРУСТИТ НАСТОЛЬНЫЙ КАЛЕНДАРЬ	7085
группа ГОЛУБЫЕ БЕРЕТЫ	ДОРОГИ	группа ГОЛУБЫЕ БЕРЕТЫ - ДОРОГИ	7086
группа ГОЛУБЫЕ БЕРЕТЫ	ЕДУТ НА ВОЙНУ ПАЦАНЫ	группа ГОЛУБЫЕ БЕРЕТЫ - ЕДУТ НА ВОЙНУ ПАЦАНЫ	7087
группа ГОЛУБЫЕ БЕРЕТЫ	ЗНАМЯ ГВАРДЕЙСКОГО ПОЛКА	группа ГОЛУБЫЕ БЕРЕТЫ - ЗНАМЯ ГВАРДЕЙСКОГО ПОЛКА	7088
группа ГОЛУБЫЕ БЕРЕТЫ	КАВАЛЕР ГЕОРГИЯ	группа ГОЛУБЫЕ БЕРЕТЫ - КАВАЛЕР ГЕОРГИЯ	7089
группа ГОЛУБЫЕ БЕРЕТЫ	ЛУЧШЕ ВДВ НА СВЕТЕ НЕТ	группа ГОЛУБЫЕ БЕРЕТЫ - ЛУЧШЕ ВДВ НА СВЕТЕ НЕТ	7090
группа ГОЛУБЫЕ БЕРЕТЫ	НАС СВЕЛА ВОЙНА	группа ГОЛУБЫЕ БЕРЕТЫ - НАС СВЕЛА ВОЙНА	7091
группа ГОЛУБЫЕ БЕРЕТЫ	НОВЫЙ ГОД	группа ГОЛУБЫЕ БЕРЕТЫ - НОВЫЙ ГОД	7092
группа ГОЛУБЫЕ БЕРЕТЫ	ОРДЕНА НЕ ПРОДАЮТСЯ	группа ГОЛУБЫЕ БЕРЕТЫ - ОРДЕНА НЕ ПРОДАЮТСЯ	7093
группа ГОЛУБЫЕ БЕРЕТЫ	ОФИЦЕРУШКА	группа ГОЛУБЫЕ БЕРЕТЫ - ОФИЦЕРУШКА	7094
группа ГОЛУБЫЕ БЕРЕТЫ	ПЕЧАЛЬНАЯ ИСТОРИЯ	группа ГОЛУБЫЕ БЕРЕТЫ - ПЕЧАЛЬНАЯ ИСТОРИЯ	7095
