artist	SONG	TITLE	ID
МАГДА	НЯМАМ ДУША	МАГДА - НЯМАМ ДУША	10075
Маирбек ХАЙДАРОВ	ЧЕЧЕНСКАЯ ДЕВУШКА	Маирбек ХАЙДАРОВ - ЧЕЧЕНСКАЯ ДЕВУШКА	10076
Майя КРИСТАЛИНСКАЯ	ЕЩЕ РАЗ О ПИСЬМАХ	Майя КРИСТАЛИНСКАЯ - ЕЩЕ РАЗ О ПИСЬМАХ	10077
Майя КРИСТАЛИНСКАЯ	ПОДМОСКОВНЫЙ ГОРОДОК	Майя КРИСТАЛИНСКАЯ - ПОДМОСКОВНЫЙ ГОРОДОК	10078
МАКSИМ	GOD	МАКSИМ - GOD	10079
МАКSИМ	ЗОЛОТЫМИ РЫБКАМИ	МАКSИМ - ЗОЛОТЫМИ РЫБКАМИ	10080
МАКSИМ	НЕ ВЫДЫХАЙ	МАКSИМ - НЕ ВЫДЫХАЙ	10081
МАКSИМ	СТАЛА СВОБОДНЕЙ	МАКSИМ - СТАЛА СВОБОДНЕЙ	10082
МАКАРОВНА	ВЕНЧАЛЬНАЯ	МАКАРОВНА - ВЕНЧАЛЬНАЯ	10083
МАКАРОВНА	ГОВОРИЛА МАМКА	МАКАРОВНА - ГОВОРИЛА МАМКА	10084
Макс КОРЖ	В ТЕМНОТЕ	Макс КОРЖ - В ТЕМНОТЕ	10085
Макс КОРЖ	ГДЕ Я	Макс КОРЖ - ГДЕ Я	10086
Макс ФАДЕЕВ & НАРГИЗ	ВДВОЁМ	Макс ФАДЕЕВ & НАРГИЗ - ВДВОЁМ	10087
Максим АПРЕЛЬ	ЛЮБОВЬ	Максим АПРЕЛЬ - ЛЮБОВЬ	10088
Максим АПРЕЛЬ	СТУДЕНТКА	Максим АПРЕЛЬ - СТУДЕНТКА	10089
Максим АПРЕЛЬ & Светлана ТЕРНОВА	НОЧНОЙ РАЗГОВОР	Максим АПРЕЛЬ & Светлана ТЕРНОВА - НОЧНОЙ РАЗГОВОР	10090
Максим КОБЗОВ	ПЛАКАТЬ НЕ НАДО	Максим КОБЗОВ - ПЛАКАТЬ НЕ НАДО	10091
Максим КРУЖЕНКОВ	САМАЯ-САМАЯ	Максим КРУЖЕНКОВ - САМАЯ-САМАЯ	10092
Максим КУСТ	В САЛАВАТЕ СНЕГ	Максим КУСТ - В САЛАВАТЕ СНЕГ	10093
Максим КУСТ	ТЕБЯ СО МНОЮ НЕТ	Максим КУСТ - ТЕБЯ СО МНОЮ НЕТ	10094
Максим КУХАРСКИЙ	БЕРЕГА СУДЬБЫ	Максим КУХАРСКИЙ - БЕРЕГА СУДЬБЫ	10095
Максим ЛАРИЧЕВ	ЛА-МАНШ	Максим ЛАРИЧЕВ - ЛА-МАНШ	10096
Максим ЛЕОНИДОВ	ВОЛКИ	Максим ЛЕОНИДОВ - ВОЛКИ	10097
Максим ЛЕОНИДОВ	ДВЕ ГАНТЕЛИ И ОДИН УТЮГ	Максим ЛЕОНИДОВ - ДВЕ ГАНТЕЛИ И ОДИН УТЮГ	10098
Максим ПОКРОВСКИЙ	АЗИЯ-80	Максим ПОКРОВСКИЙ - АЗИЯ-80	10099
Максим ПОКРОВСКИЙ	ГЛАЗА ЛЮБВИ	Максим ПОКРОВСКИЙ - ГЛАЗА ЛЮБВИ	10100
Максим ПОКРОВСКИЙ	ЖЕЛТЫЕ ОЧКИ	Максим ПОКРОВСКИЙ - ЖЕЛТЫЕ ОЧКИ	10101
Максим ПОКРОВСКИЙ	ИСТАМБУЛ	Максим ПОКРОВСКИЙ - ИСТАМБУЛ	10102
Максим ПОКРОВСКИЙ	МОСКОВСКИЕ ПРОБКИ	Максим ПОКРОВСКИЙ - МОСКОВСКИЕ ПРОБКИ	10103
Максим РЕДЬКИН	Я МИЛОГО УЗНАЮ ПО ПОХОДКЕ	Максим РЕДЬКИН - Я МИЛОГО УЗНАЮ ПО ПОХОДКЕ	10104
МАЛЕНЬКАЯ Я	МАЛЕНЬКАЯ Я	МАЛЕНЬКАЯ Я - МАЛЕНЬКАЯ Я	10105
МАЛЕНЬКАЯ Я	ЧИСТО ПОЕЗД	МАЛЕНЬКАЯ Я - ЧИСТО ПОЕЗД	10106
МАЛИ	ВЕРНОСТЬ	МАЛИ - ВЕРНОСТЬ	10107
МАЛЬБЭК & СЮЗАННА	РАВНОДУШИЕ	МАЛЬБЭК & СЮЗАННА - РАВНОДУШИЕ	10108
Марат МЕЛИК-ПАШАЯН	РЕВНИВАЯ	Марат МЕЛИК-ПАШАЯН - РЕВНИВАЯ	10109
Марат ФИДЕЛЬ	СМЕЛЫЕ ПТИЦЫ	Марат ФИДЕЛЬ - СМЕЛЫЕ ПТИЦЫ	10110
Маргарита ПОЗОЯН & АРЦВИК	СЕСТРА ПО ДУХУ	Маргарита ПОЗОЯН & АРЦВИК - СЕСТРА ПО ДУХУ	10111
Маргарита РАССКАЗОВА	ГОЛУБИ	Маргарита РАССКАЗОВА - ГОЛУБИ	10112
Маргарита РАССКАЗОВА	ДЫМОК	Маргарита РАССКАЗОВА - ДЫМОК	10113
Маргарита РАССКАЗОВА	КОНФЕТКИ-БАРАНОЧКИ	Маргарита РАССКАЗОВА - КОНФЕТКИ-БАРАНОЧКИ	10114
Маргарита РАССКАЗОВА	МАМА	Маргарита РАССКАЗОВА - МАМА	10115
Маргарита ЧУЙКО	ДЕТСТВО	Маргарита ЧУЙКО - ДЕТСТВО	10116
МАРГО	УХОДЯ-УХОДИ	МАРГО - УХОДЯ-УХОДИ	10117
Мариам МЕРАБОВА	ВОЗВРАЩЕНИЕ	Мариам МЕРАБОВА - ВОЗВРАЩЕНИЕ	10118
МАРИАННА	КАРИЕ ГЛАЗА	МАРИАННА - КАРИЕ ГЛАЗА	10119
Марианна РОССЕТ	ЗАЧЕМ АНГЕЛАМ ЛЮДИ	Марианна РОССЕТ - ЗАЧЕМ АНГЕЛАМ ЛЮДИ	10120
Марина АЛЕКСАНДРОВА	ЗДРАВСТВУЙТЕ, ГОСПОДИН ШУМАХЕР	Марина АЛЕКСАНДРОВА - ЗДРАВСТВУЙТЕ, ГОСПОДИН ШУМАХЕР	10121
