artist	SONG	TITLE	ID
Georges BRASSENS	UNE JOLIE FLEUR	Georges BRASSENS - UNE JOLIE FLEUR	1017
Gerald De PALMAS	IL FAUT QU'ON S'BATTE	Gerald De PALMAS - IL FAUT QU'ON S'BATTE	1018
Gianluca GRIGNANI	BAMBINO DALLO SPAZIO	Gianluca GRIGNANI - BAMBINO DALLO SPAZIO	1019
Gianluca GRIGNANI	L'AIUOLA	Gianluca GRIGNANI - L'AIUOLA	1020
Gianluca GRIGNANI	SEI SEMPRE STATA MIA	Gianluca GRIGNANI - SEI SEMPRE STATA MIA	1021
Gianna NANNINI	AMANDOTI	Gianna NANNINI - AMANDOTI	1022
Gianna NANNINI	AMERICA	Gianna NANNINI - AMERICA	1023
Gianna NANNINI	DIMENTICA	Gianna NANNINI - DIMENTICA	1024
Gianna NANNINI	FOTOROMANZA	Gianna NANNINI - FOTOROMANZA	1025
Gianna NANNINI	GOODBYE MY HEART	Gianna NANNINI - GOODBYE MY HEART	1026
Gianna NANNINI	I MASCHI	Gianna NANNINI - I MASCHI	1027
Gianna NANNINI	I WANNA DIE 4 U	Gianna NANNINI - I WANNA DIE 4 U	1028
Gianna NANNINI	IO	Gianna NANNINI - IO	1029
Gianna NANNINI	IO E TE	Gianna NANNINI - IO E TE	1030
Gianna NANNINI	MEDLEY	Gianna NANNINI - MEDLEY	1031
Gianna NANNINI	MERAVIGLIOSA CREATURA	Gianna NANNINI - MERAVIGLIOSA CREATURA	1032
Gianna NANNINI	MI AMI	Gianna NANNINI - MI AMI	1033
Gianna NANNINI	NEL BLU DIPINTO DI BLU	Gianna NANNINI - NEL BLU DIPINTO DI BLU	1034
Gianna NANNINI	NOTTI SENZA CUORE	Gianna NANNINI - NOTTI SENZA CUORE	1035
Gianna NANNINI	OGNI TANTO	Gianna NANNINI - OGNI TANTO	1036
Gianna NANNINI	PERCHE	Gianna NANNINI - PERCHE	1037
Gianna NANNINI	PERFETTO	Gianna NANNINI - PERFETTO	1038
Gianna NANNINI	POSSIAMO SEMPRE	Gianna NANNINI - POSSIAMO SEMPRE	1039
Gianna NANNINI	PROFUMO	Gianna NANNINI - PROFUMO	1040
Gianna NANNINI	ROCK2	Gianna NANNINI - ROCK2	1041
Gianna NANNINI	SEI NELL'ANIMA	Gianna NANNINI - SEI NELL'ANIMA	1042
Gianna NANNINI	TI VOGLIO TANTO BENE	Gianna NANNINI - TI VOGLIO TANTO BENE	1043
Gianna NANNINI & ELISA	GLI OSTACOLI DEL CUORE	Gianna NANNINI & ELISA - GLI OSTACOLI DEL CUORE	1044
Gianna NANNINI & GIORGIA	AMANDOTI	Gianna NANNINI & GIORGIA - AMANDOTI	1045
