artist	SONG	TITLE	ID
Александр МАРШАЛ	ЖУРАВЛИ, ЖУРАВЛИ	Александр МАРШАЛ - ЖУРАВЛИ, ЖУРАВЛИ	3535
Александр МАРШАЛ	ЗАПАХ МАНДАРИН (НОВОГОДНЯЯ)	Александр МАРШАЛ - ЗАПАХ МАНДАРИН (НОВОГОДНЯЯ)	3536
Александр МАРШАЛ	КАВКАЗСКИЙ ПЛЕННИК	Александр МАРШАЛ - КАВКАЗСКИЙ ПЛЕННИК	3537
Александр МАРШАЛ	КТО МЫ	Александр МАРШАЛ - КТО МЫ	3538
Александр МАРШАЛ	ЛЕТЯТ ЖУРАВЛИ	Александр МАРШАЛ - ЛЕТЯТ ЖУРАВЛИ	3539
Александр МАРШАЛ	ЛИВЕНЬ	Александр МАРШАЛ - ЛИВЕНЬ	3540
Александр МАРШАЛ	МАТУШКА	Александр МАРШАЛ - МАТУШКА	3541
Александр МАРШАЛ	МОЖЕТ БЫТЬ	Александр МАРШАЛ - МОЖЕТ БЫТЬ	3542
Александр МАРШАЛ	МОЙ ДОМ - РОССИЯ	Александр МАРШАЛ - МОЙ ДОМ - РОССИЯ	3543
Александр МАРШАЛ	МУЖСКОЙ СЕЗОН	Александр МАРШАЛ - МУЖСКОЙ СЕЗОН	3544
Александр МАРШАЛ	НА БЕЗЫМЯННОЙ ВЫСОТЕ	Александр МАРШАЛ - НА БЕЗЫМЯННОЙ ВЫСОТЕ	3545
Александр МАРШАЛ	НАЧАТЬ С НУЛЯ	Александр МАРШАЛ - НАЧАТЬ С НУЛЯ	3546
Александр МАРШАЛ	НЕБО	Александр МАРШАЛ - НЕБО	3547
Александр МАРШАЛ	ОРЁЛ	Александр МАРШАЛ - ОРЁЛ	3548
Александр МАРШАЛ	ОТ ПОРОГА ДО ПОРОГА	Александр МАРШАЛ - ОТ ПОРОГА ДО ПОРОГА	3549
Александр МАРШАЛ	ОТДОХНИ	Александр МАРШАЛ - ОТДОХНИ	3550
Александр МАРШАЛ	ОТПУСКАЮ	Александр МАРШАЛ - ОТПУСКАЮ	3551
Александр МАРШАЛ	ПИСЬМО ДОМОЙ	Александр МАРШАЛ - ПИСЬМО ДОМОЙ	3552
Александр МАРШАЛ	ПОГОДИ, ПОСТОЙ	Александр МАРШАЛ - ПОГОДИ, ПОСТОЙ	3553
Александр МАРШАЛ	ПОПЛАКАЛА	Александр МАРШАЛ - ПОПЛАКАЛА	3554
Александр МАРШАЛ	РОТА	Александр МАРШАЛ - РОТА	3555
Александр МАРШАЛ	ТЫ ЕСТЬ	Александр МАРШАЛ - ТЫ ЕСТЬ	3556
Александр МАРШАЛ	УЙТИ В МЕРЦАЮЩИЙ РАССВЕТ	Александр МАРШАЛ - УЙТИ В МЕРЦАЮЩИЙ РАССВЕТ	3557
Александр МАРШАЛ	ЧТОБЫ РЯДОМ	Александр МАРШАЛ - ЧТОБЫ РЯДОМ	3558
Александр МАРШАЛ	ЭТО ЖИЗНЬ МОЯ	Александр МАРШАЛ - ЭТО ЖИЗНЬ МОЯ	3559
Александр МАРШАЛ & Виктория ДАЙНЕКО	СНИЛОСЬ МНЕ	Александр МАРШАЛ & Виктория ДАЙНЕКО - СНИЛОСЬ МНЕ	3560
Александр МАРШАЛ & Мария НОВИКОВА	МУЗЕЙ ИМЕНИ ТЕБЯ	Александр МАРШАЛ & Мария НОВИКОВА - МУЗЕЙ ИМЕНИ ТЕБЯ	3561
Александр МАРШАЛ & Маша НОВИКОВА	МУЗЕЙ ИМЕНИ ТЕБЯ	Александр МАРШАЛ & Маша НОВИКОВА - МУЗЕЙ ИМЕНИ ТЕБЯ	3562
Александр МАРШАЛ & Наташа КОРОЛЁВА	ПОРОЧЕН Я ТОБОЙ	Александр МАРШАЛ & Наташа КОРОЛЁВА - ПОРОЧЕН Я ТОБОЙ	3563
Александр МАРШАЛ & Николай ТРУБАЧ	Я ЖИВУ В РАЮ	Александр МАРШАЛ & Николай ТРУБАЧ - Я ЖИВУ В РАЮ	3564
Александр МИЛКИН	АФГАН-ЧЕЧНЯ	Александр МИЛКИН - АФГАН-ЧЕЧНЯ	3565
